Date;Real_GDP_growth;Nominal_GDP_growth;Real_disposable_income_growth;Nominal_disposable_income_growth;Unemployment_rate;CPI_inflation_rate;3_month_Treasury_rate;5-year_Treasury_yield;10-year_Treasury_yield;BBB_corporate_yield;Mortgage_rate;Prime_rate;Dow_Jones;Index_House_Price_Index;Commercial_Real_Estate_Price_Index;Market_Volatility_Index
Q1 2012;3.4;5.8;6.3;9.1;8.3;2.3;0.1;0.9;2.1;4.4;3.9;3.3;14628;135;183;23.0
Q2 2012;1.8;3.5;2.7;3.7;8.2;0.8;0.1;0.8;1.8;4.3;3.8;3.3;14100;139;182;26.7
Q3 2012;0.6;2.8;-3.1;-2.0;8.0;1.8;0.1;0.7;1.6;3.9;3.6;3.3;14895;142;185;20.5
Q4 2012;0.5;2.5;11.6;14.1;7.8;2.7;0.1;0.7;1.7;3.6;3.4;3.3;14835;145;188;22.7
Q1 2013;4.0;5.7;-14.9;-13.7;7.7;1.6;0.1;0.8;1.9;3.7;3.5;3.3;16396;149;190;19.0
Q2 2013;1.1;1.9;3.1;3.3;7.5;-0.4;0.1;0.9;2.0;3.8;3.7;3.3;16771;152;201;20.5
Q3 2013;3.4;5.5;1.4;3.1;7.2;2.2;0.0;1.5;2.7;4.7;4.4;3.3;17718;156;213;17.0
Q4 2013;3.5;5.7;0.6;2.0;6.9;1.5;0.1;1.4;2.8;4.5;4.3;3.3;19413;159;212;20.3
Q1 2014;-1.4;0.1;4.7;6.7;6.7;2.5;0.0;1.6;2.8;4.4;4.4;3.3;19711;161;209;21.4
Q2 2014;5.3;7.7;5.1;7.0;6.2;2.1;0.0;1.7;2.7;4.0;4.2;3.3;20569;162;219;17.0
Q3 2014;5.0;6.7;3.8;5.0;6.1;1.0;0.0;1.7;2.5;3.9;4.1;3.3;20459;165;223;17.0
Q4 2014;2.0;2.4;5.8;5.3;5.7;-1.0;0.0;1.6;2.3;4.0;4.0;3.3;21425;167;230;26.3
Q1 2015;3.7;3.4;5.6;3.7;5.5;-2.6;0.0;1.5;2.0;3.9;3.7;3.3;21708;169;241;22.4
Q2 2015;2.5;4.9;1.2;3.2;5.4;2.8;0.0;1.5;2.2;3.9;3.8;3.3;21631;171;246;18.9
Q3 2015;1.6;2.7;2.2;3.3;5.1;1.5;0.0;1.6;2.3;4.3;4.0;3.3;19959;174;246;40.7
Q4 2015;0.7;0.7;2.3;2.0;5.0;0.0;0.1;1.6;2.2;4.4;3.9;3.3;21101;176;244;24.4
Q1 2016;2.3;2.0;3.3;3.5;4.9;-0.2;0.3;1.4;2.0;4.5;3.7;3.5;21179;178;239;28.1
Q2 2016;1.3;4.1;-0.8;1.7;4.9;3.2;0.3;1.3;1.8;3.9;3.6;3.5;21622;180;248;25.8
Q3 2016;2.9;3.9;2.3;3.7;4.9;1.7;0.3;1.2;1.6;3.5;3.4;3.5;22469;183;256;18.1
Q4 2016;2.2;4.2;2.6;4.5;4.8;2.6;0.4;1.7;2.2;3.9;3.8;3.5;23277;186;257;22.5
Q1 2017;2.0;4.1;4.2;6.7;4.6;2.8;0.6;2.0;2.5;4.0;4.2;3.8;24508;188;252;13.1
Q2 2017;2.3;3.3;4.4;5.3;4.4;0.5;0.9;1.8;2.3;3.8;4.0;4.0;25125;191;272;16.0
Q3 2017;3.2;5.3;2.8;4.3;4.3;1.9;1.0;1.8;2.3;3.7;3.9;4.3;26149;194;267;16.0
Q4 2017;4.6;7.2;2.5;5.0;4.2;3.2;1.2;2.1;2.4;3.7;3.9;4.3;27673;197;271;13.1
Q1 2018;3.3;5.9;4.3;7.2;4.0;3.4;1.6;2.5;2.8;4.1;4.3;4.5;27383;200;274;37.3
Q2 2018;2.1;5.1;3.6;5.8;3.9;2.2;1.8;2.8;2.9;4.5;4.5;4.8;28314;202;275;23.6
Q3 2018;2.5;4.3;4.3;5.7;3.8;1.6;2.0;2.8;2.9;4.5;4.6;5.0;30190;204;275;16.1
Q4 2018;0.6;2.3;3.9;5.5;3.8;1.6;2.3;2.9;3.0;4.8;4.8;5.3;25725;206;272;36.1
Q1 2019;2.2;3.6;4.7;5.6;3.9;1.1;2.4;2.5;2.7;4.5;4.4;5.5;29194;207;284;25.5
Q2 2019;3.4;5.4;-0.3;1.8;3.6;2.9;2.3;2.1;2.4;4.0;4.0;5.5;30244;209;297;20.6
Q3 2019;4.6;5.9;2.8;3.8;3.6;1.4;2.0;1.7;1.8;3.4;3.7;5.3;30442;212;294;24.6
Q4 2019;2.6;3.9;2.3;3.9;3.6;2.8;1.6;1.6;1.8;3.3;3.7;4.8;33035;215;291;20.6
Q1 2020;-5.3;-3.5;2.4;3.7;3.8;1.4;1.1;1.2;1.4;3.4;3.5;4.4;25985;218;296;82.7
Q2 2020;-28.0;-29.2;45.7;43.2;13.0;-3.8;0.1;0.4;0.7;3.4;3.2;3.3;31577;220;289;57.1
Q3 2020;34.8;39.7;-13.3;-10.4;8.8;4.6;0.1;0.3;0.6;2.4;3.0;3.3;34306;227;295;33.6
Q4 2020;4.2;7.1;-7.7;-5.8;6.7;2.8;0.1;0.4;0.9;2.3;2.8;3.3;39220;236;305;40.3
Q1 2021;5.2;10.9;56.0;63.5;6.2;4.2;0.1;0.6;1.4;2.4;2.9;3.3;41603;243;309;37.2
Q2 2021;6.2;12.8;-27.6;-23.1;5.9;7.5;0.0;0.8;1.6;2.6;3.0;3.3;44904;255;317;27.6
Q3 2021;3.3;9.5;-5.2;0.1;5.1;6.6;0.0;0.8;1.4;2.4;2.9;3.3;44706;266;341;25.7
Q4 2021;7.0;14.6;-5.6;0.7;4.2;8.8;0.1;1.2;1.6;2.7;3.1;3.3;48634;276;354;31.1
Q1 2022;-2.0;6.2;-9.8;-2.9;3.8;9.2;0.3;1.9;2.0;3.5;3.8;3.3;45847;290;346;36.5
Q2 2022;-0.6;8.5;-1.4;5.7;3.6;9.7;1.1;3.0;3.0;4.9;5.3;3.9;37977;298;345;34.8
Q3 2022;2.7;7.2;3.6;8.5;3.5;5.5;2.7;3.3;3.2;5.3;5.6;5.4;36098;296;351;32.6
Q4 2022;2.6;6.5;2.2;6.4;3.6;4.2;4.0;4.1;3.9;6.1;6.7;6.8;38521;296;350;33.6
Q1 2023;2.2;6.3;10.8;15.5;3.5;3.8;4.6;3.8;3.7;5.6;6.4;7.7;41137;299;347;26.5
Q2 2023;2.1;3.8;3.3;5.8;3.6;2.7;5.1;3.7;3.7;5.7;6.5;8.2;44412;303;354;20.1
Q3 2023;4.9;8.3;0.3;2.9;3.7;3.6;5.3;4.3;4.2;6.0;7.0;8.4;42789;309;349;18.9
Q4 2023;1.5;3.6;2.2;4.4;3.7;2.8;5.3;4.5;4.5;6.2;7.3;8.5;47788;311;349;21.7
